date,region_id,daily_cases,rainfall_mm,temperature_c,vector_index,lat,lon
2022-01-01,Region_1,2,1.831307825888489,26.579580894034162,2.8196101302440293,17.285,78.3867
2022-01-02,Region_1,1,0.8719799527730078,22.92035759956879,4.043843807695239,17.285,78.3867
2022-01-03,Region_1,10,1.6427825425637268,25.25187519305694,5.5910705100507885,17.285,78.3867
2022-01-04,Region_1,9,1.3017896565241907,25.04076531808449,10.527152966134501,17.285,78.3867
2022-01-05,Region_1,10,1.675264579367727,24.71251186679745,11.653854307340982,17.285,78.3867
2022-01-06,Region_1,23,2.053532143562055,26.711560471405217,16.784322569226354,17.285,78.3867
2022-01-07,Region_1,8,1.8841263967044055,24.24550882179063,16.119984159685124,17.285,78.3867
2022-01-08,Region_1,16,1.9923726264637938,24.441053737712444,18.186723508759183,17.285,78.3867
2022-01-09,Region_1,16,1.322561157718229,22.81935535718362,19.784634865089405,17.285,78.3867
2022-01-10,Region_1,13,0.8022368090058822,23.648003117728088,22.591584649026935,17.285,78.3867
2022-01-11,Region_1,10,0.9384264891429557,25.83277698875412,22.52657254422296,17.285,78.3867
2022-01-12,Region_1,21,2.2993103693387855,24.767797493353736,28.155274385439228,17.285,78.3867
2022-01-13,Region_1,2,2.265107833781944,27.046314886323252,31.130547890961594,17.285,78.3867
2022-01-14,Region_1,9,2.1722675257935795,26.420932082535803,31.489623519110005,17.285,78.3867
2022-01-15,Region_1,2,0.8356289552897068,26.128328670756282,31.203500609433483,17.285,78.3867
2022-01-16,Region_1,3,1.0950772350891722,26.63015079080737,29.391651339541568,17.285,78.3867
2022-01-17,Region_1,7,0.6440735698933372,27.634574459393686,28.750973451952518,17.285,78.3867
2022-01-18,Region_1,7,2.2694401003502587,26.713648476726558,32.67405294696906,17.285,78.3867
2022-01-19,Region_1,16,0.835714078160607,22.97181782046542,29.522569598255576,17.285,78.3867
2022-01-20,Region_1,18,2.5170900879985436,23.031435456192437,29.407588269277337,17.285,78.3867
2022-01-21,Region_1,18,2.2089075547282064,27.126889421091487,28.905939499515316,17.285,78.3867
2022-01-22,Region_1,12,1.6003125336290913,29.366215818635713,28.745835506218185,17.285,78.3867
2022-01-23,Region_1,2,2.8650499757594314,32.47269712330012,30.056064792374855,17.285,78.3867
2022-01-24,Region_1,9,2.2742144282978156,24.46138091478835,34.475057869808126,17.285,78.3867
